#SWEEP_BEGIN id=2 low=100.0 high=200.0 hold_ms=800 cycles=3 hz=50
t_ms,cmd_deg,set_deg,now_deg,err_deg,cur_mA,duty_pct
1688,200.0,200.0,125.8,74.0,331,53.4
1698,200.0,200.0,132.1,67.5,340,53.7
1708,200.0,200.0,139.1,60.7,320,54.5
1718,200.0,200.0,145.6,53.9,315,54.9
1728,200.0,200.0,152.5,47.2,322,54.2
1738,200.0,200.0,159.5,40.1,330,54.6
1748,200.0,200.0,166.1,33.5,332,54.3
1758,200.0,200.0,173.0,26.7,327,54.7
1768,200.0,200.0,179.7,19.9,295,51.8
1778,200.0,200.0,186.4,13.3,102,39.4
1788,200.0,200.0,192.0,7.9,110,16.5
1798,200.0,200.0,196.9,6.5,168,15.8
1808,200.0,200.0,199.3,0.6,0,-2.4
1818,200.0,200.0,200.6,-0.6,-8,-5.2
1828,200.0,200.0,200.9,-0.8,-0,-4.3
1838,200.0,200.0,200.9,-0.9,-0,-3.8
1848,200.0,200.0,200.9,-0.9,-0,-3.7
1858,200.0,200.0,200.9,-0.9,-0,-3.6
1868,200.0,200.0,200.9,-0.9,-0,-3.6
1878,200.0,200.0,200.9,-0.9,-0,-3.6
1888,200.0,200.0,200.9,-0.9,-0,-3.7
1898,200.0,200.0,200.9,-0.9,-0,-3.6
1908,200.0,200.0,200.9,-0.9,-0,-3.7
1918,200.0,200.0,200.9,-0.9,-0,-3.6
1928,200.0,200.0,200.9,-0.9,-0,-3.6
1938,200.0,200.0,200.9,-0.9,-0,-3.6
1948,200.0,200.0,200.9,-0.9,-0,-3.6
1958,200.0,200.0,200.9,-0.9,-0,-3.6
1968,200.0,200.0,200.9,-0.9,-0,-3.6
1978,200.0,200.0,200.9,-0.9,-0,-3.6
1988,200.0,200.0,200.9,-0.9,-0,-3.6
1998,200.0,200.0,200.9,-0.9,-0,-3.6
2008,200.0,200.0,200.8,-0.9,-0,-3.6
2018,200.0,200.0,200.9,-0.9,-0,-3.6
2028,200.0,200.0,200.8,-0.9,-0,-3.6
2038,200.0,200.0,200.9,-0.9,-0,-3.6
2048,200.0,200.0,200.9,-0.9,-0,-3.6
2058,200.0,200.0,200.9,-0.9,-0,-3.6
2068,200.0,200.0,200.9,-0.9,-0,-3.6
2078,200.0,200.0,200.9,-0.9,-0,-3.6
2088,200.0,200.0,200.9,-0.9,-0,-3.6
2098,200.0,200.0,200.9,-0.9,-0,-3.6
2108,200.0,200.0,200.9,-0.9,-0,-3.6
2118,200.0,200.0,200.9,-0.9,-0,-3.6
2128,200.0,200.0,200.9,-0.9,-0,-3.6
2138,200.0,200.0,200.9,-0.9,-0,-3.5
2148,200.0,200.0,200.9,-0.9,-0,-3.6
2159,200.0,200.0,200.9,-0.9,-0,-3.6
2169,200.0,200.0,200.9,-0.9,-0,-3.6
2178,200.0,200.0,200.9,-0.9,-0,-3.5
2188,200.0,200.0,200.9,-0.9,-0,-3.5
2199,200.0,200.0,200.9,-0.9,-0,-3.6
2208,200.0,200.0,200.9,-0.9,-0,-3.6
2218,200.0,200.0,200.9,-0.9,-0,-3.6
2228,200.0,200.0,200.8,-0.9,-0,-3.6
2238,200.0,200.0,200.9,-0.8,-0,-3.5
2249,200.0,200.0,200.9,-0.9,-0,-3.6
2258,200.0,200.0,200.9,-0.9,-0,-3.6
2268,200.0,200.0,200.9,-0.9,-0,-3.6
2278,200.0,200.0,200.9,-0.9,-0,-3.6
2288,200.0,200.0,200.9,-0.9,-0,-3.5
2298,200.0,200.0,200.9,-0.9,-0,-3.6
2308,200.0,200.0,200.9,-0.9,-0,-3.6
2318,200.0,200.0,200.9,-0.9,-0,-3.6
2328,200.0,200.0,200.9,-0.9,-0,-3.6
2338,200.0,200.0,200.9,-0.9,-0,-3.6
2348,200.0,200.0,200.9,-0.9,-0,-3.5
2358,200.0,200.0,200.9,-0.9,-0,-3.5
2368,200.0,200.0,200.9,-0.9,-0,-3.6
2378,200.0,200.0,200.9,-0.9,-0,-3.5
2388,200.0,200.0,200.9,-0.9,-0,-3.6
2398,200.0,200.0,200.9,-0.8,-0,-3.6
2408,200.0,200.0,200.9,-0.9,-0,-3.6
2418,200.0,200.0,200.9,-0.9,-0,-3.6
2428,200.0,200.0,200.9,-0.9,-0,-3.6
2439,100.0,100.0,200.9,-101.0,-3,-60.0
2448,100.0,100.0,200.7,-100.7,-489,-50.0
2459,100.0,100.0,198.7,-98.5,-478,-45.4
2469,100.0,100.0,194.5,-94.4,-416,-49.2
2478,100.0,100.0,189.4,-89.4,-379,-51.0
2488,100.0,100.0,183.5,-83.2,-358,-52.3
2498,100.0,100.0,177.8,-77.6,-337,-53.4
2508,100.0,100.0,171.6,-71.0,-345,-53.5
2518,100.0,100.0,165.2,-64.8,-309,-54.5
2528,100.0,100.0,158.3,-57.9,-317,-54.2
2538,100.0,100.0,151.6,-51.3,-325,-54.0
2548,100.0,100.0,144.8,-44.3,-336,-54.2
2558,100.0,100.0,137.7,-37.3,-332,-54.3
2568,100.0,100.0,130.8,-30.3,-329,-54.5
2578,100.0,100.0,123.7,-23.5,-316,-54.9
2588,100.0,100.0,116.6,-16.5,-184,-45.2
2598,100.0,100.0,109.4,-9.3,-52,-22.3
2608,100.0,100.0,103.9,-4.8,-184,-10.4
2618,100.0,100.0,101.5,-1.4,-0,-0.3
2628,100.0,100.0,100.3,-0.2,0,1.3
2638,100.0,100.0,99.9,0.2,0,1.4
2648,100.0,100.0,99.7,0.3,0,1.5
2658,100.0,100.0,99.7,0.3,0,1.5
2668,100.0,100.0,99.6,0.3,0,1.5
2678,100.0,100.0,99.6,0.3,0,1.5
2688,100.0,100.0,99.6,0.4,0,1.4
2698,100.0,100.0,99.6,0.4,0,1.5
2708,100.0,100.0,99.6,0.3,0,1.4
2718,100.0,100.0,99.7,0.3,0,1.4
2728,100.0,100.0,99.6,0.4,0,1.5
2738,100.0,100.0,99.6,0.4,0,1.5
2748,100.0,100.0,99.6,0.3,0,1.5
2758,100.0,100.0,99.6,0.3,0,1.4
2768,100.0,100.0,99.6,0.4,0,1.4
2778,100.0,100.0,99.7,0.4,0,1.5
2788,100.0,100.0,99.6,0.4,0,1.5
2798,100.0,100.0,99.7,0.4,0,1.5
2808,100.0,100.0,99.6,0.4,0,1.5
2818,100.0,100.0,99.6,0.4,0,1.5
2828,100.0,100.0,99.6,0.4,0,1.4
2838,100.0,100.0,99.6,0.3,0,1.4
2848,100.0,100.0,99.7,0.4,0,1.5
