cli on
CLI mode ON (gait paused, servos hold position)
> sweep 2 100 200 800 3 50
#SWEEP_BEGIN id=2 low=100.0 high=200.0 hold_ms=800 cycles=3 hz=50
t_ms,cmd_deg,set_deg,now_deg,err_deg,cur_mA,duty_pct
3678,200.0,200.0,191.1,8.8,234,17.5
3689,200.0,200.0,191.6,8.3,203,15.3
3698,200.0,200.0,193.5,6.4,185,13.4
3708,200.0,200.0,192.7,5.6,186,13.3
3718,200.0,200.0,194.4,5.5,96,5.8
3728,200.0,200.0,199.0,1.0,0,1.5
3738,200.0,200.0,199.6,0.4,0,0.7
3748,200.0,200.0,199.7,0.2,0,0.7
3758,200.0,200.0,199.8,0.2,0,0.7
3768,200.0,200.0,199.8,0.2,0,0.7
3778,200.0,200.0,199.8,0.2,0,0.7
3788,200.0,200.0,199.8,0.2,0,0.7
3798,200.0,200.0,199.8,0.2,0,0.7
3808,200.0,200.0,199.8,0.2,0,0.7
3818,200.0,200.0,199.8,0.2,0,0.7
3829,200.0,200.0,199.8,0.2,0,0.7
3838,200.0,200.0,199.8,0.2,0,0.7
3848,200.0,200.0,199.8,0.2,0,0.7
3858,200.0,200.0,199.8,0.2,0,0.7
3868,200.0,200.0,199.8,0.2,0,0.7
3879,200.0,200.0,199.8,0.2,0,0.7
3888,200.0,200.0,199.8,0.2,0,0.7
3898,200.0,200.0,199.8,0.2,0,0.7
3908,200.0,200.0,199.8,0.2,0,0.7
3918,200.0,200.0,199.8,0.2,0,0.7
3928,200.0,200.0,199.8,0.2,0,0.7
3938,200.0,200.0,199.8,0.2,0,0.7
3948,200.0,200.0,199.8,0.2,0,0.7
3958,200.0,200.0,199.8,0.2,0,0.7
3968,200.0,200.0,199.8,0.2,0,0.7
3978,200.0,200.0,199.8,0.2,0,0.7
3988,200.0,200.0,199.8,0.2,0,0.7
3999,200.0,200.0,199.8,0.2,0,0.7
4008,200.0,200.0,199.8,0.2,0,0.7
4018,200.0,200.0,199.8,0.2,0,0.7
4028,200.0,200.0,199.8,0.2,0,0.7
4038,200.0,200.0,199.8,0.2,0,0.7
4048,200.0,200.0,199.8,0.2,0,0.7
4059,100.0,100.0,198.8,-98.6,-241,-18.3
4068,100.0,100.0,198.1,-98.0,-242,-18.3
4078,100.0,100.0,197.9,-97.9,-242,-18.3
4088,100.0,100.0,194.9,-94.7,-242,-18.3
4098,100.0,100.0,193.3,-94.5,-241,-18.3
4108,100.0,100.0,192.4,-92.1,-241,-18.3
4118,100.0,100.0,189.3,-89.2,-242,-18.4
4128,100.0,100.0,188.4,-88.4,-241,-18.3
4138,100.0,100.0,185.1,-85.0,-241,-18.3
4148,100.0,100.0,183.5,-84.1,-241,-18.3
4158,100.0,100.0,181.1,-80.7,-241,-18.3
4168,100.0,100.0,178.9,-80.0,-240,-18.3
4178,100.0,100.0,178.2,-76.9,-241,-18.3
4188,100.0,100.0,174.8,-74.7,-241,-18.3
4198,100.0,100.0,174.2,-73.0,-241,-18.3
4208,100.0,100.0,170.6,-70.5,-241,-18.4
4218,100.0,100.0,170.1,-69.4,-241,-18.3
4228,100.0,100.0,166.5,-66.4,-242,-18.3
4238,100.0,100.0,165.8,-65.7,-241,-18.3
4248,100.0,100.0,162.3,-62.2,-242,-18.4
4258,100.0,100.0,161.4,-61.4,-241,-18.3
4268,100.0,100.0,158.0,-57.9,-241,-18.3
4278,100.0,100.0,157.0,-57.0,-241,-18.3
4288,100.0,100.0,154.0,-53.9,-242,-18.3
4299,100.0,100.0,152.3,-52.8,-241,-18.3
4308,100.0,100.0,149.9,-49.5,-241,-18.3
4318,100.0,100.0,147.5,-48.4,-241,-18.3
4328,100.0,100.0,146.0,-44.9,-241,-18.3
4338,100.0,100.0,143.2,-43.7,-240,-18.3
4348,100.0,100.0,142.2,-41.0,-241,-18.3
4358,100.0,100.0,138.8,-38.7,-241,-18.3
4368,100.0,100.0,137.8,-37.6,-241,-18.3
4378,100.0,100.0,134.6,-34.5,-242,-18.3
4388,100.0,100.0,133.3,-33.2,-241,-18.3
4399,100.0,100.0,130.3,-30.2,-242,-18.3
4408,100.0,100.0,129.4,-29.3,-241,-18.3
4418,100.0,100.0,125.6,-25.5,-242,-18.4
4428,100.0,100.0,124.8,-24.9,-241,-18.3
4438,100.0,100.0,121.6,-21.5,-241,-18.3
4448,100.0,100.0,119.8,-20.1,-241,-18.3
4458,100.0,100.0,117.0,-16.8,-241,-18.3
4468,100.0,100.0,114.5,-15.4,-241,-18.3
4478,100.0,100.0,112.7,-12.1,-241,-18.3
4488,100.0,100.0,109.8,-10.4,-240,-17.7
4498,100.0,100.0,108.5,-7.6,-201,-15.2
4508,100.0,100.0,107.4,-7.3,-183,-11.9
4518,100.0,100.0,104.7,-4.6,-106,-9.4
4528,100.0,100.0,103.4,-3.3,-64,-6.5
4538,100.0,100.0,102.3,-2.3,-38,-5.2
4548,100.0,100.0,101.5,-1.5,-0,-4.7
4558,100.0,100.0,101.0,-1.0,-0,-3.0
4568,100.0,100.0,100.8,-0.8,-0,-2.6
4578,100.0,100.0,100.7,-0.7,-0,-2.6
4588,100.0,100.0,100.7,-0.7,-0,-2.6
4598,100.0,100.0,100.7,-0.7,-0,-2.6
4609,100.0,100.0,100.7,-0.7,-0,-2.7
4619,100.0,100.0,100.7,-0.7,-0,-2.7
4628,100.0,100.0,100.7,-0.7,-0,-2.6
4638,100.0,100.0,100.7,-0.7,-0,-2.7
4648,100.0,100.0,100.7,-0.7,-0,-2.7
4658,100.0,100.0,100.7,-0.7,-0,-2.6
4668,100.0,100.0,100.7,-0.7,-0,-2.6
4678,100.0,100.0,100.7,-0.7,-0,-2.7
4689,100.0,100.0,100.7,-0.7,-0,-2.7
4699,100.0,100.0,100.7,-0.7,-0,-2.6
4708,100.0,100.0,100.7,-0.7,-0,-2.7
4718,100.0,100.0,100.7,-0.7,-0,-2.7
4728,100.0,100.0,100.7,-0.7,-0,-2.7
4738,100.0,100.0,100.7,-0.7,-0,-2.7
4748,100.0,100.0,100.7,-0.7,-0,-2.7
4758,100.0,100.0,100.7,-0.7,-0,-2.7
4768,100.0,100.0,100.7,-0.7,-0,-2.7
4778,100.0,100.0,100.7,-0.7,-0,-2.7
4788,100.0,100.0,100.7,-0.7,-0,-2.7
4798,100.0,100.0,100.7,-0.7,-0,-2.7
4808,100.0,100.0,100.7,-0.7,-0,-2.7
4818,100.0,100.0,100.7,-0.7,-0,-2.7
4829,100.0,100.0,100.7,-0.7,-0,-2.7
4838,100.0,100.0,100.7,-0.7,-0,-2.7
4848,100.0,100.0,100.7,-0.7,-0,-2.7
4858,100.0,100.0,100.7,-0.7,-0,-2.7
#SWEEP_END
> 
